x_est	y_est	vx_est	vy_est	yaw_est	yaw_rate_est	px	py	timestamp	x_gt	y_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt
19.4769	15.982	-2.11222	4.14365	2.04221	0.591209	19.474840	16.009821	1477010448900000	19.430710	16.039040	-2.041143	4.346899	2.009799	0.548437
19.268	16.3652	-2.28151	4.00455	2.08866	0.566091	19.238029	16.271851	1477010449000000	19.214800	16.467880	-2.275858	4.227312	2.064667	0.549305
19.0177	16.7757	-2.53649	3.89322	2.14823	0.57058	19.002939	16.838739	1477010449100000	18.975731	16.884130	-2.504184	4.095300	2.119613	0.549826
18.6791	17.2147	-2.98436	3.75396	2.24248	0.633423	18.614780	17.383150	1477010449200000	18.714180	17.286560	-2.725339	3.951269	2.174602	0.550000
18.3578	17.6162	-3.16014	3.7052	2.27697	0.570504	18.102261	17.552940	1477010449300000	18.430920	17.674000	-2.938575	3.795682	2.229599	0.549826
18.0907	17.9918	-3.21094	3.60866	2.29794	0.514815	18.209379	18.046080	1477010449400000	18.126770	18.045309	-3.143182	3.629063	2.284571	0.549305
17.7901	18.2826	-3.34443	3.30764	2.36172	0.538901	17.901751	18.218260	1477010449500000	17.802629	18.399429	-3.338496	3.451991	2.339482	0.548437
17.4587	18.6484	-3.49924	3.22015	2.39771	0.514272	17.384501	18.703911	1477010449600000	17.459459	18.735331	-3.523900	3.265092	2.394298	0.547223
17.121	18.9223	-3.62319	2.95932	2.45671	0.527482	17.176201	18.886339	1477010449700000	17.098270	19.052080	-3.698831	3.069040	2.448983	0.545663
16.7349	19.2099	-3.79081	2.77713	2.50932	0.522182	16.573410	19.051960	1477010449800000	16.720150	19.348780	-3.862783	2.864551	2.503504	0.543759
16.3115	19.5317	-4.0243	2.65427	2.55853	0.521381	16.233829	19.617050	1477010449900000	16.326220	19.624649	-4.015308	2.652373	2.557826	0.541510
15.8824	19.7597	-4.20446	2.36799	2.62867	0.547576	15.924260	19.870291	1477010450000000	15.917630	19.878941	-4.156022	2.433288	2.611914	0.538920
15.4592	20.0395	-4.29835	2.28596	2.65281	0.497616	15.433190	20.183599	1477010450100000	15.495590	20.111010	-4.284605	2.208100	2.665735	0.535990
15.0589	20.3125	-4.34945	2.18449	2.67615	0.466577	15.201640	20.438530	1477010450200000	15.061320	20.320290	-4.400804	1.977632	2.719255	0.532721
